Title,Content,Link,Category
"هذا ما يستطيع ""الروبوت الكلب"" القيام به بعد تطويره","أطلقت شركة بوسطن ديناميكس مجموعة من التحديثات الجديدة لروبوتها الكلب سبوت، تمكنه من الحصول على ذراع تتيح له التحكم في الأشياء وفتح الأبواب، وإمكانية شحن نفسه تلقائياً من دون أي تدخل بشري.وزودت الشركة الروبوت المميز بأرجله الأربعة، بذراع جديدة تحمل اسم Spot Arm تتيح له حمل الأشياء والتقاطها وجذبها، وكذلك فتح الأبواب.وتسمح الذراع الجديدة بالتحكم في صمامات المياه والغاز داخل المصانع والشركات، خاصة مع إقبال قطاع الأعمال على اقتناء الكلب ""سبوت"" لتنفيذ العديد من المهام الصناعية الخطرة، وكذلك مهام المراقبة.وكشفت الشركة عن إصدار جديد يحمل اسم Enterprise Spot، والذي يقدم ميزة الشحن الذاتي، إذ أن الروبوت خلال عمله في المناطق الصناعية، عندما يشعر بانخفاض مستوى الطاقة الخاصة به، يتوجه تلقائياً إلى منصة الشحن الخاصة به، ليستعيد طاقته.ويفتح الإصدار الجديد، آفاقاً واسعة من التطبيقات لقطاع الأعمال، لأن ""إنتربريس سبوت"" يؤدي الأعمال اليومية الروتينية مع الحاجة لتدخل بشري أقل عن ذي قبل، إذ يمكن تخزين برنامج يومي من المهام ليقوم بتنفيذها.ويأتي إصدار ""سبوت"" لقطاع الأعمال بميزة التحكم من خلال واجهة افتراضية عبر متصفح الويب، تحمل اسم Scout، ويمكن من خلالها التحكم في الروبوت عن بعد، مع إمكانية رؤية كل ما يراه ويتفاعل معه الروبوت عن بعد عبر الكاميرا الموجودة في مقدمة جسمه.وطورت الشركة من قدرة ""سبوت"" على الاتصال بشبكات الواي فاي من خلال الإصدار الجديد.",https://asharq.com/ar/3zPmSiLLvX0B1IscTwHpUu-تطوير-الروبوت-spot-ليتحكم-بالمياه-والغاز/,علوم وتكنولوجيا
دون أسباب.. أبل تحرم مستخدمي كروم من ميزة مهمة,"بعد إطلاقها للميزة منذ أيام، سحبت ""أبل"" تحديث تطبيق خدمتها السحابية iCloud 12 للأجهزة الحاسوبية العاملة بنظام تشغيل ويندوز من متجر Windows Store، لتحرم المستخدمين بذلك من ميزة مزامنة كلمات مرورهم بين أجهزة ""ماك"" و""ويندوز"" عبر متصفح ""غوغل كروم"".وأصبحت النسخة المتوفرة من ""آي كلاود"" على متجر ويندوز هي رقم 11.6، والتي لا تتضمن ميزة مزامنة كلمات المرور، وبالتالي بمجرد تحميلها لن يستمتع المستخدم بإضافة كروم iCloud KeyChain، على الرغم من أن الجزء المخصص لوصف إصدار آي كلاود ما زال يخبر المستخدمين بأنه يتضمن تلك الميزة، وفقاً لموقع ذا فيرج.ويمكن رؤية الفرق، في الصور أدناه، بين الإصدارين 12 و 11.6، وملاحظة غياب ميزة مزامنة كلمات المرور عن الإصدار الثاني. ولم تعلق شركة أبل بعد على سبب سحبها للتحديث من متجر ويندوز، وما إذا كان ذلك يتعلق بمشكلة تقنية أم لا.",https://asharq.com/ar/CqifnkKVQqFtESkpTFMR9-دون-أسباب-أبل-تحرم-مستخدمي-كروم-من-ميزة/,علوم وتكنولوجيا
خاصية جديدة لإعادة الصور والفيديوهات المحذوفة من إنستغرام,"أعلنت شبكة إنستغرام الاجتماعية عن ميزة جديدة تتيح للمستخدمين استرجاع الصور والفيديوهات المحذوفة، وذلك حتى إن قام مخترقون بالوصول إلى حساباتهم ومسحها.وتتشابه الميزة الجديدة مع ميزة Trash في خدمة جوجل للصور Google Photos وكذلك خدمة Recycle Bin لدى تطبيق سامسونغ Galaxy App.عندما تقوم بمسح أي فيديو أو صورة من حسابك على إنستغرام، ستنتقل الصورة أو الفيديو إلى حافظة ملفات باسم Recently Deleted، بحيث يمكنك استرجاعها خلال 30 يوماً.وتنطبق الميزة الجديدة أيضا على القصص القصيرة Stories، ولكن في هذه الحالة تبقى ""الستوريز"" داخل الحافظة لمدة 24 ساعة فقط.للوصول إلى حافظة الملفات المحذوفة، يجب عليك الدخول إلى الإعدادات Settings ومن ثم حسابي Account ومن ثم تختار الملفات المحذوفة مؤخراً Recently Deleted.ولكي تقوم باسترجاع أحد الملفات، سيكون عليك أن تؤكد هويتك من خلال استقبال كود تأكيدي في رسالة نصية على هاتفك أو على بريدك الإلكتروني، ومن ثم يمكنك استرجاع الملف المطلوب.",https://asharq.com/ar/4JdP0xnW47B63G9rM06pf0-خاصية-جديدة-لإعادة-الصور-والفيديوهات/,علوم وتكنولوجيا
"كوريا تسقط اتهام ""أبل"" بالاحتكار مقابل 89.7 مليون دولار","أعلنت لجنة التجارة العادلة في كوريا الجنوبية قبولها خطة شركة ""أبل"" الأميركية لتسوية الاتهامات الموجهة إليها منذ 2016، بخصوص ممارساتها الاحتكارية ضد الموزعين المحليين، من خلال عقود غير عادلة تلزمهم تحمل تكاليف الحملات الدعائية وخدمات الصيانة.وتأتي خطة العملاق الأميركي بدفع 100 مليار وون (ما يعادل 89.7 مليون دولار)، لدعم  توجه الشركات الصغيرة وتطوير التعليم وتنمية المهارات البشرية في كوريا على مدى 3 سنوات، وفقاً لموقع كوريا هيرالد.وكانت شركة ""أبل"" قد خضعت لتحقيقات دامت 4 سنوات، عملت خلالها السلطات الكورية الجنوبية على تقصي الحقائق في ما يخص ممارسات أبل، والتي وصفتها بغير العادلة ضد الموزعين المحليين.وسعت الجهة الرقابية الكورية إلى فرض عقوبات على ""أبل"" كوريا، ولكن الشركة عرضت تسوية الأمور وإنهاء الأزمة بخطة تطوعية لتصحيح المسار، وقد قبلت لجنة التجارة العادلة الخطة، وذلك في ظل قانون مكافحة الاحتكار والتجارة العادلة.وتتضمن خطة ""أبل"" لتصحيح أوضاعها في كوريا الجنوبية إنفاق 40 مليار وون على إنشاء مركز للبحث والتطوير داخل كوريا الجنوبية، تستفيد منه الشركات الصغيرة العاملة في مجال الهواتف الذكية، و25 مليار وون لتقديم خصم نسبته 10% لمستخدمي خدمات صيانة آيفون.وذلك إلى جانب توجيه 25 مليار وون نحو إنشاء مركز تعليمي لتدريب مطوّري تكنولوجيا المعلومات، و10 مليارات وون ستُنفق على دعم التعليم الرقمي في المدارس والمؤسسات العامة.وأعربت الشركة الأميركية العملاقة عن سعادتها بإنهاء الخلاف مع السلطات الكورية وتطلعها نحو توسيع التعاون مع الحكومة الكورية باستثمارات مستقبلية داخل كوريا التي تحتضن أهم منافسي ""أبل""، وهي شركة سامسونغ.كما أعلنت لجنة التجارة العادلة أنها ستقوم بتعيين شركة مالية لمتابعة التزام أبل بتنفيذ خطة تصحيح المسار، وذلك من خلال زيارات كل 6 أشهر لمدة 3 سنوات.وفي حال لم يتم تنفيذ الخطة المقررة، ستتعرض أبل لغرامة مالية تقدر بمليوني وون عن كل يوم تأخير، وستصبح الخطة غير صالحة للتنفيذ.",https://asharq.com/ar/Sio6uk9wIuCGbHKeZFA4p-كوريا-تسقط-اتهام-أبل-بالاحتكار-مقابل-897/,علوم وتكنولوجيا
"من بينها متجر ""آب ستور"".. تعطل جزئي في خدمات آبل","تشهد بعض خدمات شركة آبل عطلاً مفاجئاً، مثل خدمات ""آبل ميووزك"" و""آبل راديو"" و""آبل بووكس""، ومتجر التطبيقات ""آب ستور""، وهو ما أكدته الشركة.وأكد بعض المستخدمين أنهم يعانون من مشاكل مع تلك الخدمات، إذ لا يمكنهم الوصول إليها، سواء عبر أجهزة ماك أو هواتف آيفون، وأوضح البعض أن مشكلتهم تمثلت في عدم القدرة على تشغيل أي مقاطع موسيقية من ""آبل ميووزك""، أو الوصول إلى الموسيقى الخاصة بهم عبر ""آيتيونز""، كما أن البعض الآخر أكد أن نتائج البحث على ""آب ستور"" تعتبر محدودة للغاية.ورد الحساب الرسمي لدعم آبل الفني عبر تويتر على مشكلة نشرها أحد المستخدمين في تغريدة، يقول إنه لا يستطيع تغيير كلمة المرور الخاصة بهاتفه، واعترف بالتعطل، ما يعكس أن المشكلة قد تكون أكبر من مجرد مجموعة من الخدمات المتوقفة.وحدثت آبل صفحة الحالة الخاصة بخدماتها، لتعكس العطل الذي أصاب بعض خدماتها، وأكدت أنها تعمل على حلها في أقرب وقت ممكن.",https://asharq.com/ar/3LHh1yuDF949fSB6yQcPYc-من-بينها-متجر-آب-ستور-تعطل-جزئي-في-خدمات/,علوم وتكنولوجيا
مدير أمازون الجديد انتقد أوراكل علناً ودخل مؤتمراً بشاحنة,"بعد 30 عاماً على تأسيسه متجراً إلكترونياً صغيراً لبيع الكتب، وتحوله إلى عملاق من عمالقة التجارة والخدمات الإلكترونية، أعلن مؤسس أمازون الملياردير جيف بيزوس تنحيه عن منصب المدير التنفيذي للشركة، ليخلفه مدير قطاع الخدمات السحابية AWS التنفيذي، آندي جاسي، الذي نجح في أن يضع أمازون في وضع تنافسي مع عمالقة إدارة البيانات مثل أوراكل ومايكروسوفت.وأعلن بيزوس في رسالته الإلكترونية إلى موظفيه عن ثقته في أداء جاسي وأنه سيكون مديراً منقطع النظير، موضحاً أنهما عملا معاً منذ اليوم الأول لتأسيس أمازون.والتحق جاسي (52 عاماً) بأمازون بعد إنهائه دراسته في كلية هارفارد لإدارة الأعمال في مايو 1997، وفقاً لما صرح به جاسي في حوار صوتي له مع كليته، في سبتمبر الماضي.وآمن بيزوس بقدرات جاسي منذ اليوم الأول له في الشركة، وكان ضمن فريقه المميز من مديري أمازون S-Team، ووضعه على رأس قطاع AWS للخدمات السحابية منذ تأسيسه، وفي 2016 قرر أن يرفع من قدره في الشركة، وعينه مديراً تنفيذياً للقطاع، وفقاً لموقع CNBC الإخباري.وفي مقال نُشر بصحيفة ""ذا واشنطن بوست""، والمملوكة لأمازون، تمت تسمية جاسي بأنه الخليفة المتوقع لبيزوس في الشركة.وعلى الرغم من أنه عند التحاقه بأمازون لم يكن يعلم ماذا سيكون دوره، ولم يسأل عن منصبه الوظيفي، إلا أن جاسي تمكن من أن يؤسس قطاع خدمات أمازون السحابية AWS، الذي قدم أضخم بنية تحتية إلكترونية مكنت ملايين الشركات والمدارس والحكومات من أن تشغل تطبيقاتها للأجهزة الذكية ومواقعها الإلكترونية للويب.ولمع نجم AWS تحت قيادة جاسي خلال فترة قصيرة، إذ نجح في لفت انتباه عمالقة التقنية وكسب ثقتهم في أداء خوادم أمازون لدعم قطاع الأعمال، وعلى رأسهم شركات أبل، وسلاك بينترست، وLyft، وكذلك بعض القطاعات الحكومية والأجهزة الأمنية، مثل الاستخبارات الأميركية المركزية CIA، وفقاً لموقع CNBC الإخباري.ومنذ 2006، مع إطلاق أمازون خدماتها السحابية، كانت اليد العليا في هذه السوق لمايكروسوفت وغوغل وأوراكل، لكن بحلول منتصف 2020، تمكن جاسي وفريقه من احتلال 33% من السوق العالمية للخدمات السحابية، وحلت مايكروسوفت ثانياً بحصة سوقية 18% وغوغل ثالثاً بنسبة 9%، وفقاً لمركز Synergy Research البحثي.وبالتزامن مع إعلان الشركة لنتائجها الفصلية للربع الرابع من عامها المالي 2020، أعلنت أمازون عن تحقيق قطاع AWS لعوائد 12.7 مليار دولار، بمعدل نمو 28% مقارنة بالعام الماضي، وأرباح تشغيلية بلغت 3.56 مليون دولار، تشكل 52% من إجمالي أرباح أمازون التشغيلية.أما على الجانب الشخصي، فإن جاسي يعتبر مختلفاً بعض الشيء عن بيزوس، إذ يحرص على المشاركة وإبداء آرائه في القضايا الاجتماعية، وسبق أن أعلن عبر حسابه الرسمي على تويتر موقفه الداعم لأصحاب البشرة السمراء وسط الغضب الأميركي ضد انتهاكات الشرطة الأميركية العام الماضي، كما أعلن دعمه لأصحاب الميول الجنسية الشاذة، وأيد قرار المحكمة العليا الأميركية بتجريم التعصب ضدهم في أماكن العمل.ولم يتوان مدير أمازون الجديد قط عن انتقاد منافسي AWS في العلن، إذ وصف أوراكل في 2017 قائلاً: ""عندما تنظر إلى الخدمات السحابية، فلن تجد أي شيء يشبه احتجاز أوراكل لعملائها داخل عقود إجبارية طويلة المدى تصل إلى 10 و15 عاماً"".وجاسي معروف بولعه بالأفكار الإبداعية والمبتكرة، وكان أكثرها جنوناً دخوله بحافلة، تحمل اسم Snowmobile، إلى مؤتمر لشركة AWS في 2016، وكانت جزءاً من تسهيل الشركة على عملائها الاحتفاظ ببياناتهم وتخزينها سحابياً.",https://asharq.com/ar/347uHyH7kHtX1oxOfGB5NE-مدير-أمازون-الجديد-انتقد-أوراكل-علناً/,علوم وتكنولوجيا
"ما شرط فتح ""آيفون"" ببصمة الوجه خلال ارتداء الكمامة؟",تجهز شركة أبل تحديثاً برمجياً جديداً لنظام تشغيل هواتف آيفون iOS 14.5 سيحمل ميزة تسمح للمستخدمين بفتح هواتفهم ببصمة وجوههم FaceID خلال ارتداء الكمامة.وستكون الميزة الجديدة بمثابة حل عملي لاستخدام هواتف آيفون وفتح الشاشة بشكل سريع وعملي من دون الحاجة إلى نزع الكمامة، أو إدخال كلمة المرور التقليدية، وفقاً لموقع انجادجيت التقني.لكن الميزة الجديدة يتطلب استخدامها توفر شرط واحد، وهو أن تكون لدى المستخدم ساعة أبل الذكية Apple Watch.وتعمل الميزة الجديدة من خلال تأكد هاتف آيفون أن ساعة أبل، التي يرتديها المستخدم، بالفعل تم فتحها بواسطته، وحينها تتأكد أبل من هوية المستخدم، وعندها يكفيه أن ينظر إلى هاتفه فقط، أثناء ارتداء الكمامة، ليتم فتح قفل الشاشة بشكل مباشر وفوري.وأوضح التقرير أن الميزة الجديدة ستعتمد على بصمة وجه معدلة من جانب أبل، إذ أصبحت أقل من حيث الدقة ومعدلات الأمان، فبصمة الوجه التقليدية من أبل كانت تعتمد قوتها على تشكيل بصمة كاملة لكل عناصر الوجه من أنف وعينين وفم.لكن مع الميزة الجديدة أصبحت البصمة تعتمد بشكل رئيس ووحيد على تصميم وبصمة عين المستخدم.,https://asharq.com/ar/4XZ1DlIMpFeUCMNWMn9Xb5-ما-شرط-فتح-آيفون-ببصمة-الوجه-خلال-ارتداء/,علوم وتكنولوجيا
مايكروسوفت تدعم أستراليا في مواجهة غوغل وفيسبوك,"اقترحت شركة ""مايكروسوفت""، الأربعاء، سد الفراغ الذي ستخلفه ""غوغل"" في حال توقيف محرك البحث التابع لها في أستراليا رداً على مشروع أسترالي يرغمها على الدفع لوسائل الإعلام عند استخدام محتوياتها. وتعمل الحكومة الأسترالية على ""مدونة قواعد سلوكية ملزمة"" لإدارة العلاقات بين وسائل الإعلام التقليدية، التي تعاني صعوبات مالية كبرى، والمجموعات العملاقة المهيمنة على الإنترنت، وعلى رأسها ""غوغل"" و""فيسبوك"" اللتين تستحوذان على حصة كبيرة من العائدات الإعلانية.وأعلن رئيس ""مايكروسوفت"" براد سميث، في بيان الأربعاء، أن مجموعته ""تدعم بالكامل"" هذا المشروع ""الرامي إلى التصدي بصورة منطقية لاختلال التوازن بين المنصات الرقمية، والمؤسسات الصحافية الأسترالية""، كما يشكّل ""خطوة أساسية في اتجاه أرضية عمل أكثر توازناً ونظام رقمي أكثر عدالة للمستهلكين والشركات والمجتمع"".وأشار سميث إلى أن ""مايكروسوفت"" مستعدة لتحسين محركها للبحث ""بينغ"" الذي يستحوذ على حصة صغيرة من السوق، كما أنها مستعدة لاستقبال المعلنين الأستراليين ""من دون تحويل في التكاليف"".ولفت إلى أن ""مايكروسوفت"" مستعدة ""للاستثمار من أجل التأكد من تزويد ""بينغ"" بقدرات مشابهة لتلك الموجودة لدى منافسينا""، مذكّراً بأن ""الناس قادرون على المساعدة""، إذ إن إمكانات ""بينغ تتحسن مع كل عملية بحث"".وتنص مدوّنة القواعد التي وضعتها الحكومة الأسترالية على أن تتفاوض ""غوغل"" و""فيسبوك"" مع كل وسيلة إعلامية على قيمة الأموال الواجب دفعها مقابل استخدام مضامينها، وفي حال عدم التوصل إلى اتفاق، يجري الاحتكام إلى جهة تحكيمية لحسم الخلاف.وتوقعت كبرى المجموعات الصحافية الأسترالية، ""نيوز كورب"" و""ناين إنترتاينمنت""، أن تصل قيمة هذه التعويضات إلى مئات ملايين الدولارات سنوياً. وأكدت ""غوغل"" و""فيسبوك"" اللتان تحظيان بدعم حكومي أميركي في هذا الملف أن هذا المشروع ينسف النموذج الذي قامتا عليه كما يضرب طريقة عمل الإنترنت نفسها.",https://asharq.com/ar/19YCQo8vqq2pZOO5lBNn83-مايكروسوفت-تدعم-أستراليا-في-مواجهة-غوغل/,علوم وتكنولوجيا
طرح الجيل الجديد من هاتف هواوي القابل للطي في 22 فبراير,"أعلنت شركة هواوي عن موعد إطلاق الجيل الجديد من هاتفها القابل للطي Mate X، والذي سيحمل اسم ""ميت إكس 2""، وسيكون إطلاقه يوم 22 فبراير الجاري.واعتماداً على الاسم الذي تم الكشف عنه في منشور على حساب الشركة الرسمي عبر شبكة ويبو الاجتماعية الصينية، فإنه من المرجح أن يأتي الجهاز الجديد بالعديد من التحديثات، سواء على مستوى التصميم أو الإمكانات، مقارنة بالجيل الأول Mate X والإصدار الثاني Mate XS.ومن خلال تحليل تصميم الإعلان الرسمي، فإن هواوي على الأغلب ستغير طريقة طي هاتفها الجديد، بحيث يتم طي شاشته إلى الداخل رأسياً، كما هو الحال في عائلة هواتف سامسونغ غلاكسي Z Flip، فقد كانت الشركة تعتمد تصميماً لعائلة ""ميت إكس"" القابلة للطي منذ إطلاقها بشكل رأسي إلى الخارج.وبالتأكيد، سيأتي الهاتف الجديد من هواوي من دون خدمات غوغل على متنه، وذلك مع استمرار إدراجها على قائمة الحظر الأميركي، التي أدرجها فيها الرئيس الأميركي السابق دونالد ترمب مايو 2019.من المتوقع أن يأتي الهاتف القابل للطي الجديد ""ميت إكس 2"" بمعالج هواوي Kirin 9000، الذي وصل به هاتفها الأحدث ""ميت 40 برو""، ولم تخرج المزيد من التفاصيل عن الهاتف إلى النور بعد.",https://asharq.com/ar/73OgCvyTsK0O2CKEbyfyaD-طرح-الجيل-الجديد-من-هاتف-هواوي-القابل/,علوم وتكنولوجيا
"مديرو عمالقة التكنولوجيا يهنئون ""بيزوس"" بتنحيه عن إدارة أمازون","هنأ بعض مديري الشركات التقنية العملاقة مؤسس أمازون جيف بيزوس، بعد قراره التنحي عن إدارة شركته والنزول إلى منصب رئيس مجلس إدارتها، ليحل محله آندي جاسي، مدير شركة أمازون للخدمات السحابية AWS.وقد نشر سوندا بيتشاي، المدير التنفيذي لشركة ألفابت مالكة غوغل، تغريدة مهنئاً بيزوس على قراره، ومتمنياً لجاسي التوفيق.كما هنأ ساتيا ناديلا، المدير التنفيذي لشركة مايكروسوفت، بيزوس وجاسي عبر حسابه الرسمي على تويتر.وكذلك في تغريدة مقتضبة، هنأ مدير شركة سيلز فورس التنفيذي، مارك بينوف، ثنائي أمازون المتنحي والجديد.كذلك أرسل مارسيلو كلاور، رئيس مجلس الإدارة التنفيذي بشركة ""وي وورك""، تهنئته إلى بيزوس على انضمامه إلى نادي رؤساء مجلس الإدارة التنفيذيين، متمنياً التوفيق لجاسي.وكان جيف بيزوس، مؤسس أمازون، قد أعلن تنحيه عن منصبه كمدير تنفيذي للشركة، وذلك بعد 30 عاماً من تأسيسه لها.وفي رسالة إلى موظفي الشركة، أعلن بيزوس أنه سيشغل منصب رئيس مجلس الإدارة للشركة وسيكرّس وقته بالكامل لمنتجات أمازون الجديدة ومبادراتها مثل مؤسسته للدعم المالي للمشروعات Day 1 Fund ومؤسسته التنموية Bezos Earch Fund وكذلك شركاته Blue Origin، المتخصصة في مهام استكشاف الفضاء، وصحيفته ذا واشنطن بوست.وقد كشف بيزوس عن تمرير منصبه كمدير لأمازون إلى رفيق رحلته داخل الشركة، آندي جاسي الذي يشغل منصب المدير التنفيذي لشركة أمازون للخدمات السحابية AWS، مؤكداً أنه سيكون مديراً استثنائياً.وأوضح بيزوس أن منصب المدير التنفيذي لأمازون يستهلك وقتاً ومجهوداً من شاغله، مؤكداً أنه لا يسمح له بأن يركز على أي شيء آخر.والتحق جاسي، 52 عاماً، بأمازون بعد إنهائه دراسته في كلية هارفارد لإدارة الأعمال في مايو 1997، وفقاً لما صرح به جاسي في حوار صوتي له مع كليته، في سبتمبر الماضي.وآمن بيزوس بقدرات جاسي منذ اليوم الأول له في الشركة، وكان ضمن فريقه المميز من مديري أمازون S-Team، ووضعه على رأس قطاع AWS للخدمات السحابية منذ تأسيسه، وفي 2016 قرر أن يرفع من قدره في الشركة فعيّنه مديراً تنفيذياً للقطاع، وفقاً لموقع CNBC الإخباري.",https://asharq.com/ar/1KRqrnGTNOd2Fil6fFYx5b-مديرو-عمالقة-التكنولوجيا-يهنئون-بيزوس/,علوم وتكنولوجيا
